,detail_id,transaction_id,item_id,quantity
107,107,T0000000218,S003,1
108,108,T0000000219,S003,1
109,109,T0000000219,S002,1
110,110,T0000000220,S002,1
111,111,T0000000221,S002,1
112,112,T0000000222,S004,1
113,113,T0000000223,S003,1
114,114,T0000000224,S001,1
115,115,T0000000225,S002,1
116,116,T0000000226,S001,1
117,117,T0000000227,S005,1
118,118,T0000000228,S002,2
119,119,T0000000229,S005,1
120,120,T0000000230,S005,1
121,121,T0000000231,S004,1
122,122,T0000000231,S004,1
123,123,T0000000231,S003,1
124,124,T0000000232,S001,1
125,125,T0000000233,S002,2
126,126,T0000000234,S001,2
127,127,T0000000235,S001,1
128,128,T0000000236,S001,3
129,129,T0000000237,S003,1
130,130,T0000000238,S003,1
131,131,T0000000239,S002,1
132,132,T0000000240,S005,1
133,133,T0000000241,S002,2
134,134,T0000000242,S005,1
135,135,T0000000243,S001,1
136,136,T0000000244,S005,1
137,137,T0000000245,S003,1
138,138,T0000000246,S004,1
139,139,T0000000247,S002,2
140,140,T0000000248,S003,1
141,141,T0000000249,S005,1
142,142,T0000000250,S004,1
143,143,T0000000251,S001,1
144,144,T0000000252,S005,1
145,145,T0000000253,S001,1
146,146,T0000000254,S005,1
147,147,T0000000255,S001,1
148,148,T0000000256,S003,1
149,149,T0000000257,S005,1
150,150,T0000000258,S001,1
151,151,T0000000259,S003,2
152,152,T0000000260,S002,1
153,153,T0000000261,S001,1
154,154,T0000000262,S001,2
155,155,T0000000263,S001,1
156,156,T0000000264,S004,1
157,157,T0000000265,S001,2
158,158,T0000000265,S001,2
159,159,T0000000266,S004,1
160,160,T0000000267,S001,1
161,161,T0000000268,S002,2
162,162,T0000000269,S001,1
163,163,T0000000270,S005,1
164,164,T0000000271,S001,1
165,165,T0000000272,S004,1
166,166,T0000000273,S001,2
167,167,T0000000274,S002,1
168,168,T0000000275,S001,1
169,169,T0000000276,S005,1
170,170,T0000000277,S001,1
171,171,T0000000278,S001,2
172,172,T0000000279,S003,1
173,173,T0000000280,S001,1
174,174,T0000000281,S003,1
175,175,T0000000282,S001,1
176,176,T0000000283,S003,1
177,177,T0000000284,S001,1
178,178,T0000000285,S002,1
179,179,T0000000286,S001,1
180,180,T0000000287,S001,2
181,181,T0000000288,S005,1
182,182,T0000000289,S001,1
183,183,T0000000290,S003,1
184,184,T0000000291,S005,1
185,185,T0000000292,S005,1
186,186,T0000000293,S005,1
187,187,T0000000294,S005,1
188,188,T0000000295,S002,1
189,189,T0000000296,S001,2
190,190,T0000000297,S002,1
191,191,T0000000298,S005,1
192,192,T0000000299,S001,1
193,193,T0000000300,S001,1
194,194,T0000000301,S005,1
195,195,T0000000302,S004,1
196,196,T0000000303,S005,1
197,197,T0000000304,S001,1
198,198,T0000000305,S005,1
199,199,T0000000306,S002,1
200,200,T0000000307,S001,1
201,201,T0000000308,S005,1
202,202,T0000000309,S005,1
203,203,T0000000310,S005,1
204,204,T0000000311,S003,1
205,205,T0000000312,S001,2
206,206,T0000000313,S002,1
207,207,T0000000314,S001,1
208,208,T0000000315,S002,1
209,209,T0000000316,S004,1
210,210,T0000000317,S002,1
211,211,T0000000318,S002,1
212,212,T0000000319,S001,1
213,213,T0000000319,S002,2
214,214,T0000000320,S002,1
215,215,T0000000321,S002,1
216,216,T0000000322,S005,1
217,217,T0000000323,S004,1
218,218,T0000000324,S001,1
219,219,T0000000325,S002,1
220,220,T0000000326,S001,1
221,221,T0000000327,S002,1
222,222,T0000000328,S001,2
223,223,T0000000329,S004,1
224,224,T0000000330,S001,1
225,225,T0000000331,S001,1
226,226,T0000000332,S005,1
227,227,T0000000333,S001,2
228,228,T0000000334,S001,1
229,229,T0000000335,S002,1
230,230,T0000000336,S003,1
231,231,T0000000336,S003,1
232,232,T0000000337,S001,1
233,233,T0000000338,S002,1
234,234,T0000000339,S002,1
235,235,T0000000340,S002,3
236,236,T0000000341,S002,1
237,237,T0000000342,S001,1
238,238,T0000000343,S004,1
239,239,T0000000343,S002,1
240,240,T0000000344,S002,1
241,241,T0000000345,S003,1
242,242,T0000000346,S005,1
243,243,T0000000347,S005,1
244,244,T0000000348,S005,1
245,245,T0000000349,S001,1
246,246,T0000000350,S001,1
247,247,T0000000351,S004,1
248,248,T0000000352,S002,1
249,249,T0000000353,S002,1
250,250,T0000000354,S001,1
251,251,T0000000355,S002,1
252,252,T0000000356,S005,1
253,253,T0000000357,S002,2
254,254,T0000000358,S002,1
255,255,T0000000359,S002,2
256,256,T0000000360,S004,1
257,257,T0000000360,S005,1
258,258,T0000000361,S002,1
259,259,T0000000362,S001,1
260,260,T0000000363,S004,1
261,261,T0000000364,S004,1
262,262,T0000000365,S002,1
263,263,T0000000366,S002,1
264,264,T0000000367,S003,1
265,265,T0000000368,S001,2
266,266,T0000000369,S004,1
267,267,T0000000370,S002,1
268,268,T0000000371,S005,1
269,269,T0000000372,S002,1
270,270,T0000000373,S001,1
271,271,T0000000374,S004,1
272,272,T0000000375,S001,1
273,273,T0000000376,S001,1
274,274,T0000000377,S004,2
275,275,T0000000378,S001,1
276,276,T0000000379,S005,1
277,277,T0000000380,S003,1
278,278,T0000000381,S005,1
279,279,T0000000382,S002,1
280,280,T0000000383,S001,2
281,281,T0000000383,S001,1
282,282,T0000000383,S003,2
283,283,T0000000384,S004,1
284,284,T0000000385,S005,1
285,285,T0000000386,S005,1
286,286,T0000000387,S001,1
287,287,T0000000388,S001,2
288,288,T0000000389,S004,1
289,289,T0000000390,S005,2
290,290,T0000000391,S003,1
291,291,T0000000392,S004,1
292,292,T0000000393,S005,1
293,293,T0000000394,S001,1
294,294,T0000000395,S002,1
295,295,T0000000396,S001,1
296,296,T0000000397,S005,1
297,297,T0000000397,S001,1
298,298,T0000000397,S004,1
299,299,T0000000398,S001,1
300,300,T0000000399,S005,1
301,301,T0000000400,S005,1
302,302,T0000000401,S003,1
303,303,T0000000402,S004,1
304,304,T0000000403,S003,1
305,305,T0000000404,S001,2
306,306,T0000000405,S005,1
307,307,T0000000406,S003,1
308,308,T0000000407,S005,1
309,309,T0000000408,S004,1
310,310,T0000000409,S003,1
311,311,T0000000410,S002,2
312,312,T0000000411,S002,1
313,313,T0000000412,S001,1
314,314,T0000000413,S001,3
315,315,T0000000414,S005,1
316,316,T0000000415,S005,1
317,317,T0000000416,S002,1
318,318,T0000000417,S002,1
319,319,T0000000418,S004,1
320,320,T0000000419,S002,1
321,321,T0000000420,S001,4
322,322,T0000000421,S002,1
323,323,T0000000422,S001,2
324,324,T0000000423,S002,1
325,325,T0000000424,S004,1
326,326,T0000000425,S004,1
327,327,T0000000426,S002,1
328,328,T0000000427,S005,1
329,329,T0000000428,S003,1
330,330,T0000000429,S005,1
331,331,T0000000430,S003,1
332,332,T0000000431,S002,1
333,333,T0000000432,S004,1
334,334,T0000000433,S004,2
335,335,T0000000434,S001,1
336,336,T0000000435,S001,1
337,337,T0000000436,S004,1
338,338,T0000000437,S005,1
339,339,T0000000438,S001,2
340,340,T0000000439,S001,1
341,341,T0000000440,S003,1
342,342,T0000000441,S005,1
343,343,T0000000442,S002,1
344,344,T0000000443,S001,1
345,345,T0000000444,S005,1
346,346,T0000000445,S005,1
347,347,T0000000446,S003,2
348,348,T0000000447,S005,1
349,349,T0000000448,S005,2
350,350,T0000000449,S004,1
351,351,T0000000450,S002,1
352,352,T0000000451,S001,1
353,353,T0000000452,S004,2
354,354,T0000000453,S004,1
355,355,T0000000454,S002,2
356,356,T0000000454,S005,1
357,357,T0000000455,S005,1
358,358,T0000000456,S004,1
359,359,T0000000457,S004,1
360,360,T0000000458,S001,1
361,361,T0000000459,S003,1
362,362,T0000000460,S002,1
363,363,T0000000461,S004,2
364,364,T0000000462,S003,1
365,365,T0000000463,S004,1
366,366,T0000000464,S004,1
367,367,T0000000465,S002,1
368,368,T0000000466,S001,1
369,369,T0000000467,S001,1
370,370,T0000000468,S001,1
371,371,T0000000469,S004,1
372,372,T0000000470,S002,1
373,373,T0000000471,S001,1
374,374,T0000000472,S004,1
375,375,T0000000472,S004,1
376,376,T0000000473,S002,1
377,377,T0000000474,S001,3
378,378,T0000000475,S002,1
379,379,T0000000476,S001,1
380,380,T0000000477,S005,1
381,381,T0000000478,S005,1
382,382,T0000000479,S002,1
383,383,T0000000479,S005,1
384,384,T0000000480,S004,1
385,385,T0000000481,S001,3
386,386,T0000000482,S005,1
387,387,T0000000483,S002,1
388,388,T0000000484,S002,1
389,389,T0000000485,S005,1
390,390,T0000000486,S001,1
391,391,T0000000487,S002,1
392,392,T0000000488,S003,1
393,393,T0000000489,S003,1
394,394,T0000000490,S001,2
395,395,T0000000491,S001,1
396,396,T0000000492,S001,1
397,397,T0000000493,S001,4
398,398,T0000000494,S001,2
399,399,T0000000495,S001,1
400,400,T0000000496,S004,1
401,401,T0000000497,S001,2
402,402,T0000000498,S002,2
403,403,T0000000499,S004,2
404,404,T0000000500,S003,1
405,405,T0000000501,S004,1
406,406,T0000000502,S003,1
407,407,T0000000503,S002,1
408,408,T0000000504,S002,1
409,409,T0000000505,S005,2
410,410,T0000000506,S002,3
411,411,T0000000507,S002,1
412,412,T0000000508,S004,1
413,413,T0000000509,S001,1
414,414,T0000000510,S004,1
415,415,T0000000511,S002,1
416,416,T0000000512,S003,1
417,417,T0000000513,S004,1
418,418,T0000000513,S004,1
419,419,T0000000513,S005,1
420,420,T0000000514,S004,1
421,421,T0000000515,S005,1
422,422,T0000000516,S001,2
423,423,T0000000517,S005,1
424,424,T0000000518,S002,2
425,425,T0000000519,S005,1
426,426,T0000000520,S001,2
427,427,T0000000521,S001,1
428,428,T0000000522,S001,1
429,429,T0000000523,S002,2
430,430,T0000000524,S001,1
431,431,T0000000525,S002,2
432,432,T0000000526,S001,1
433,433,T0000000527,S004,1
434,434,T0000000528,S003,1
435,435,T0000000529,S001,3
436,436,T0000000530,S001,2
437,437,T0000000531,S004,1
438,438,T0000000532,S003,1
439,439,T0000000533,S002,1
440,440,T0000000534,S004,1
441,441,T0000000535,S003,1
442,442,T0000000536,S002,1
443,443,T0000000537,S005,1
444,444,T0000000538,S004,1
445,445,T0000000539,S002,1
446,446,T0000000540,S005,1
447,447,T0000000541,S005,1
448,448,T0000000542,S004,1
449,449,T0000000543,S003,1
450,450,T0000000544,S001,2
451,451,T0000000545,S001,2
452,452,T0000000546,S005,1
453,453,T0000000547,S004,1
454,454,T0000000547,S001,1
455,455,T0000000547,S001,1
456,456,T0000000548,S001,1
457,457,T0000000549,S002,1
458,458,T0000000550,S005,1
459,459,T0000000551,S004,1
460,460,T0000000552,S002,1
461,461,T0000000553,S004,1
462,462,T0000000554,S005,1
463,463,T0000000555,S004,1
464,464,T0000000556,S003,1
465,465,T0000000557,S001,1
466,466,T0000000558,S004,1
467,467,T0000000558,S004,1
468,468,T0000000559,S002,1
469,469,T0000000560,S001,1
470,470,T0000000561,S001,1
471,471,T0000000562,S004,1
472,472,T0000000563,S005,1
473,473,T0000000564,S001,2
474,474,T0000000565,S002,1
475,475,T0000000566,S001,1
476,476,T0000000567,S003,1
477,477,T0000000568,S002,1
478,478,T0000000569,S005,1
479,479,T0000000570,S004,1
480,480,T0000000571,S002,1
481,481,T0000000572,S001,3
482,482,T0000000572,S002,2
483,483,T0000000573,S004,1
484,484,T0000000574,S004,1
485,485,T0000000575,S003,1
486,486,T0000000576,S005,1
487,487,T0000000577,S005,1
488,488,T0000000578,S001,1
489,489,T0000000579,S005,1
490,490,T0000000580,S001,1
491,491,T0000000581,S001,1
492,492,T0000000582,S005,1
493,493,T0000000583,S005,1
494,494,T0000000584,S001,1
495,495,T0000000585,S002,1
496,496,T0000000586,S005,1
497,497,T0000000587,S005,1
498,498,T0000000588,S005,1
499,499,T0000000589,S004,1
500,500,T0000000589,S001,2
501,501,T0000000590,S004,1
502,502,T0000000591,S002,1
503,503,T0000000592,S005,1
504,504,T0000000593,S004,1
505,505,T0000000593,S001,1
506,506,T0000000594,S002,1
507,507,T0000000595,S001,1
508,508,T0000000596,S001,1
509,509,T0000000597,S004,1
510,510,T0000000598,S004,1
511,511,T0000000599,S003,1
512,512,T0000000600,S002,1
513,513,T0000000601,S001,3
514,514,T0000000602,S004,1
515,515,T0000000603,S001,3
516,516,T0000000604,S005,1
517,517,T0000000605,S004,1
518,518,T0000000606,S005,1
519,519,T0000000607,S002,2
520,520,T0000000608,S002,1
521,521,T0000000609,S003,2
522,522,T0000000610,S004,1
523,523,T0000000611,S001,1
524,524,T0000000612,S003,1
525,525,T0000000613,S002,3
526,526,T0000000614,S002,1
527,527,T0000000615,S004,2
528,528,T0000000616,S003,1
529,529,T0000000617,S002,1
530,530,T0000000618,S003,2
531,531,T0000000619,S002,1
532,532,T0000000620,S005,1
533,533,T0000000621,S001,1
534,534,T0000000622,S001,1
535,535,T0000000623,S003,1
536,536,T0000000624,S001,3
537,537,T0000000625,S005,1
538,538,T0000000626,S001,2
539,539,T0000000627,S005,1
540,540,T0000000628,S003,1
541,541,T0000000629,S001,1
542,542,T0000000630,S002,1
543,543,T0000000631,S001,3
544,544,T0000000632,S003,1
545,545,T0000000633,S005,1
546,546,T0000000634,S004,1
547,547,T0000000635,S003,1
548,548,T0000000636,S005,1
549,549,T0000000637,S002,1
550,550,T0000000638,S004,1
551,551,T0000000639,S003,1
552,552,T0000000640,S001,1
553,553,T0000000641,S001,1
554,554,T0000000642,S001,2
555,555,T0000000643,S001,1
556,556,T0000000644,S001,1
557,557,T0000000645,S001,1
558,558,T0000000646,S005,1
559,559,T0000000647,S002,1
560,560,T0000000648,S004,1
561,561,T0000000649,S001,1
562,562,T0000000650,S001,1
563,563,T0000000651,S001,2
564,564,T0000000652,S001,2
565,565,T0000000653,S005,2
566,566,T0000000654,S005,1
567,567,T0000000655,S001,1
568,568,T0000000656,S002,1
569,569,T0000000657,S004,1
570,570,T0000000658,S005,1
571,571,T0000000659,S001,1
572,572,T0000000660,S001,1
573,573,T0000000661,S005,1
574,574,T0000000662,S005,1
575,575,T0000000663,S001,2
576,576,T0000000664,S003,1
577,577,T0000000665,S005,1
578,578,T0000000666,S001,2
579,579,T0000000667,S001,1
580,580,T0000000668,S003,1
581,581,T0000000669,S003,1
582,582,T0000000670,S003,1
583,583,T0000000671,S001,1
584,584,T0000000672,S001,2
585,585,T0000000673,S001,1
586,586,T0000000674,S005,1
587,587,T0000000675,S005,1
588,588,T0000000676,S004,1
589,589,T0000000677,S001,1
590,590,T0000000678,S001,1
591,591,T0000000679,S005,1
592,592,T0000000680,S003,1
593,593,T0000000681,S004,1
594,594,T0000000682,S005,1
595,595,T0000000683,S001,1
596,596,T0000000683,S005,1
597,597,T0000000683,S003,1
598,598,T0000000684,S005,1
599,599,T0000000685,S005,1
600,600,T0000000686,S001,1
601,601,T0000000687,S003,1
602,602,T0000000688,S003,1
603,603,T0000000689,S001,1
604,604,T0000000690,S003,1
605,605,T0000000691,S004,1
606,606,T0000000692,S002,1
607,607,T0000000693,S005,1
608,608,T0000000694,S003,1
609,609,T0000000695,S004,1
610,610,T0000000696,S003,1
611,611,T0000000697,S001,1
612,612,T0000000698,S005,1
613,613,T0000000699,S001,3
614,614,T0000000700,S005,1
615,615,T0000000701,S004,1
616,616,T0000000702,S004,1
617,617,T0000000703,S001,1
618,618,T0000000704,S001,1
619,619,T0000000705,S004,1
620,620,T0000000706,S001,1
621,621,T0000000707,S005,1
622,622,T0000000708,S005,1
623,623,T0000000709,S004,1
624,624,T0000000710,S004,1
625,625,T0000000711,S003,1
626,626,T0000000712,S004,2
627,627,T0000000713,S003,1
628,628,T0000000714,S005,1
629,629,T0000000715,S005,1
630,630,T0000000716,S003,1
631,631,T0000000717,S002,1
632,632,T0000000718,S001,1
633,633,T0000000719,S002,1
634,634,T0000000720,S001,2
635,635,T0000000721,S002,1
636,636,T0000000722,S002,2
637,637,T0000000723,S003,1
638,638,T0000000724,S005,1
639,639,T0000000725,S005,1
640,640,T0000000726,S001,4
641,641,T0000000727,S002,1
642,642,T0000000728,S003,1
643,643,T0000000729,S001,3
644,644,T0000000730,S002,1
645,645,T0000000731,S001,2
646,646,T0000000732,S003,1
647,647,T0000000733,S002,1
648,648,T0000000734,S001,2
649,649,T0000000735,S005,1
650,650,T0000000736,S005,1
651,651,T0000000737,S004,1
652,652,T0000000738,S001,1
653,653,T0000000739,S001,3
654,654,T0000000739,S002,1
655,655,T0000000740,S002,2
656,656,T0000000741,S005,1
657,657,T0000000742,S005,1
658,658,T0000000743,S001,4
659,659,T0000000744,S003,1
660,660,T0000000745,S005,1
661,661,T0000000746,S002,1
662,662,T0000000747,S001,1
663,663,T0000000748,S003,1
664,664,T0000000749,S004,1
665,665,T0000000750,S002,1
666,666,T0000000751,S002,2
667,667,T0000000752,S004,1
668,668,T0000000753,S001,1
669,669,T0000000754,S005,1
670,670,T0000000755,S005,1
671,671,T0000000756,S005,1
672,672,T0000000757,S005,1
673,673,T0000000758,S003,1
674,674,T0000000759,S001,1
675,675,T0000000760,S002,1
676,676,T0000000761,S001,1
677,677,T0000000762,S002,2
678,678,T0000000763,S001,3
679,679,T0000000764,S005,1
680,680,T0000000765,S002,1
681,681,T0000000766,S003,2
682,682,T0000000767,S005,1
683,683,T0000000768,S004,1
684,684,T0000000769,S001,1
685,685,T0000000770,S005,1
686,686,T0000000771,S005,1
687,687,T0000000772,S003,1
688,688,T0000000773,S002,2
689,689,T0000000774,S004,1
690,690,T0000000775,S001,1
691,691,T0000000776,S001,1
692,692,T0000000777,S002,1
693,693,T0000000778,S005,1
694,694,T0000000779,S002,1
695,695,T0000000780,S005,1
696,696,T0000000781,S003,1
697,697,T0000000781,S001,3
698,698,T0000000782,S003,2
699,699,T0000000783,S004,1
700,700,T0000000784,S002,1
701,701,T0000000785,S001,1
702,702,T0000000786,S002,2
703,703,T0000000787,S003,1
704,704,T0000000788,S002,1
705,705,T0000000789,S002,1
706,706,T0000000790,S005,1
707,707,T0000000790,S003,1
708,708,T0000000790,S004,1
709,709,T0000000790,S003,2
710,710,T0000000791,S001,2
711,711,T0000000792,S005,1
712,712,T0000000793,S004,1
713,713,T0000000794,S001,1
714,714,T0000000795,S004,1
715,715,T0000000796,S001,1
716,716,T0000000797,S002,1
717,717,T0000000797,S003,1
718,718,T0000000798,S005,1
719,719,T0000000799,S003,1
720,720,T0000000800,S003,1
721,721,T0000000801,S002,1
722,722,T0000000801,S001,1
723,723,T0000000802,S005,1
724,724,T0000000803,S004,1
725,725,T0000000804,S001,1
726,726,T0000000805,S005,1
727,727,T0000000806,S004,1
728,728,T0000000807,S005,1
729,729,T0000000808,S002,1
730,730,T0000000809,S001,2
731,731,T0000000810,S004,1
732,732,T0000000811,S001,1
733,733,T0000000812,S005,1
734,734,T0000000813,S003,1
735,735,T0000000814,S002,1
736,736,T0000000815,S001,1
737,737,T0000000816,S005,1
738,738,T0000000817,S005,1
739,739,T0000000818,S003,1
740,740,T0000000819,S001,1
741,741,T0000000820,S002,1
742,742,T0000000821,S003,1
743,743,T0000000822,S002,1
744,744,T0000000823,S004,1
745,745,T0000000824,S002,1
746,746,T0000000825,S001,1
747,747,T0000000826,S005,1
748,748,T0000000827,S001,2
749,749,T0000000828,S002,1
750,750,T0000000829,S005,1
751,751,T0000000830,S005,1
752,752,T0000000831,S002,1
753,753,T0000000832,S005,1
754,754,T0000000833,S004,1
755,755,T0000000834,S005,1
756,756,T0000000835,S001,1
757,757,T0000000836,S005,1
758,758,T0000000837,S003,2
759,759,T0000000838,S001,1
760,760,T0000000839,S005,1
761,761,T0000000840,S003,2
762,762,T0000000841,S002,2
763,763,T0000000842,S005,1
764,764,T0000000843,S005,1
765,765,T0000000844,S005,1
766,766,T0000000845,S005,1
767,767,T0000000846,S001,1
768,768,T0000000847,S005,1
769,769,T0000000848,S003,1
770,770,T0000000849,S003,1
771,771,T0000000850,S001,2
772,772,T0000000851,S002,1
773,773,T0000000852,S002,1
774,774,T0000000853,S005,1
775,775,T0000000854,S001,3
776,776,T0000000855,S002,1
777,777,T0000000855,S002,1
778,778,T0000000856,S002,1
779,779,T0000000857,S001,1
780,780,T0000000858,S004,1
781,781,T0000000859,S005,1
782,782,T0000000860,S001,4
783,783,T0000000861,S003,1
784,784,T0000000862,S004,1
785,785,T0000000863,S001,1
786,786,T0000000864,S005,1
787,787,T0000000865,S005,1
788,788,T0000000866,S001,2
789,789,T0000000867,S004,1
790,790,T0000000868,S001,2
791,791,T0000000869,S005,1
792,792,T0000000870,S004,1
793,793,T0000000871,S004,1
794,794,T0000000872,S002,1
795,795,T0000000873,S001,2
796,796,T0000000874,S005,1
797,797,T0000000875,S005,1
798,798,T0000000876,S002,1
799,799,T0000000877,S001,2
800,800,T0000000878,S005,1
801,801,T0000000879,S002,1
802,802,T0000000880,S005,1
803,803,T0000000881,S002,1
804,804,T0000000882,S004,1
805,805,T0000000883,S003,1
806,806,T0000000884,S005,1
807,807,T0000000884,S001,1
808,808,T0000000885,S005,1
809,809,T0000000886,S005,1
810,810,T0000000887,S004,1
811,811,T0000000888,S005,1
812,812,T0000000889,S005,1
813,813,T0000000890,S001,1
814,814,T0000000891,S003,1
815,815,T0000000892,S001,1
816,816,T0000000893,S002,2
817,817,T0000000894,S005,1
818,818,T0000000895,S003,1
819,819,T0000000896,S005,1
820,820,T0000000897,S001,1
821,821,T0000000898,S001,4
822,822,T0000000899,S001,2
823,823,T0000000900,S004,1
824,824,T0000000901,S001,1
825,825,T0000000902,S003,1
826,826,T0000000903,S005,1
827,827,T0000000904,S003,1
828,828,T0000000904,S002,1
829,829,T0000000905,S002,1
830,830,T0000000906,S002,1
831,831,T0000000906,S001,1
832,832,T0000000907,S005,1
833,833,T0000000908,S001,1
834,834,T0000000909,S005,2
835,835,T0000000910,S005,1
836,836,T0000000911,S003,2
837,837,T0000000912,S001,1
838,838,T0000000912,S001,1
839,839,T0000000913,S001,1
840,840,T0000000914,S001,1
841,841,T0000000915,S005,1
842,842,T0000000916,S001,1
843,843,T0000000917,S005,1
844,844,T0000000918,S004,1
845,845,T0000000919,S005,1
846,846,T0000000920,S005,1
847,847,T0000000921,S002,2
848,848,T0000000922,S002,3
849,849,T0000000923,S001,2
850,850,T0000000924,S002,1
851,851,T0000000925,S002,3
852,852,T0000000926,S002,1
853,853,T0000000927,S004,1
854,854,T0000000928,S005,1
855,855,T0000000929,S003,1
856,856,T0000000930,S001,1
857,857,T0000000931,S004,1
858,858,T0000000932,S005,2
859,859,T0000000933,S001,1
860,860,T0000000934,S004,1
861,861,T0000000935,S001,1
862,862,T0000000936,S003,1
863,863,T0000000937,S001,4
864,864,T0000000938,S005,1
865,865,T0000000939,S002,2
866,866,T0000000940,S001,2
867,867,T0000000941,S002,1
868,868,T0000000942,S005,1
869,869,T0000000943,S005,1
870,870,T0000000943,S001,3
871,871,T0000000944,S004,1
872,872,T0000000945,S001,2
873,873,T0000000946,S002,3
874,874,T0000000947,S001,1
875,875,T0000000948,S005,1
876,876,T0000000949,S001,3
877,877,T0000000950,S005,1
878,878,T0000000951,S005,1
879,879,T0000000952,S002,1
880,880,T0000000953,S005,1
881,881,T0000000954,S001,2
882,882,T0000000955,S002,1
883,883,T0000000956,S001,1
884,884,T0000000957,S001,1
885,885,T0000000958,S005,1
886,886,T0000000959,S001,1
887,887,T0000000960,S002,3
888,888,T0000000961,S004,1
889,889,T0000000962,S005,1
890,890,T0000000963,S005,1
891,891,T0000000964,S005,1
892,892,T0000000965,S005,1
893,893,T0000000966,S002,2
894,894,T0000000967,S002,1
895,895,T0000000968,S005,1
896,896,T0000000969,S005,1
897,897,T0000000970,S001,1
898,898,T0000000971,S002,2
899,899,T0000000972,S005,1
900,900,T0000000973,S005,1
901,901,T0000000974,S001,1
902,902,T0000000975,S001,1
903,903,T0000000976,S004,1
904,904,T0000000977,S002,1
905,905,T0000000978,S003,1
906,906,T0000000979,S002,1
907,907,T0000000980,S004,1
908,908,T0000000981,S004,1
909,909,T0000000982,S001,1
910,910,T0000000983,S002,1
911,911,T0000000984,S002,1
912,912,T0000000985,S003,1
913,913,T0000000986,S001,1
914,914,T0000000987,S004,1
915,915,T0000000988,S005,1
916,916,T0000000989,S005,2
917,917,T0000000990,S001,1
918,918,T0000000991,S002,1
919,919,T0000000992,S001,1
920,920,T0000000993,S003,1
921,921,T0000000994,S002,1
922,922,T0000000995,S002,2
923,923,T0000000996,S005,1
924,924,T0000000997,S003,1
925,925,T0000000998,S002,1
926,926,T0000000999,S005,1
927,927,T0000000999,S001,1
928,928,T0000000999,S002,1
929,929,T0000001000,S001,1
